,spkid,full_name,pha,H,diameter,albedo,diameter_sigma,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
48862,2078686,' 78686 (2002 TA139)',N,15.1,2.137,0.322,0.617,0.1065153339451618,2.5165733859925106,2.248519731386012,8.198140703526029,340.4412560042043,315.7672171515365,230.052119307867,2.784627040599011,0.2468821408713654,2459526.855937426,20211108.3559374,1458.185670009939,3.99229478442146,1.24135,483.0961795,5.1332000000000006e-08,1.4943e-08,1.304e-07,4.7695e-06,3.2248e-05,4.6814e-05,3.9694e-05,1.6534e-08,2.1988000000000003e-09,0.00016134,1.2987e-05,MBA,0.52783
890,2000897,'   897 Lysistrata (1918 DZ)',N,10.3,24.337,0.214,0.27699999999999997,0.0945307818617865,2.5409177395377727,2.3007227989727843,14.32998136207442,257.9651256021756,23.746005913727107,69.14583375150869,2.781112680102762,0.2433426123191516,2458716.349874822,20190820.8498748,1479.395641269144,4.05036452092853,1.29046,502.2083182,4.8465e-08,8.6525e-09,1.2461e-07,5.2213e-06,1.7006e-05,2.7749e-05,2.191e-05,9.4705e-09,1.243e-09,8.987100000000001e-05,7.5566e-06,MBA,0.40465
74435,2152809,'152809 (1999 TU197)',N,14.5,7.065,0.074,0.308,0.1334194677133038,2.9728816872736816,2.576241394982998,13.35001874829441,255.7895391871378,55.1008489982728,88.60402327473213,3.369521979564365,0.1922815592308732,2458539.6964594563,20190225.196459506,1872.254424397228,5.12595324954751,1.58765,617.8657505,4.6452e-08,2.9839e-08,1.4141e-07,4.8299e-06,2.9231e-05,3.8838e-05,2.3955e-05,3.3819999999999994e-08,2.8949e-09,0.00012543,2.8188e-05,MBA,0.47891
108461,2307953,'307953 (2004 GU5)',N,16.4,4.172,0.034,0.5539999999999999,0.1909621743536465,2.644515099826521,2.1395127462525982,13.461104087294071,175.38377771165557,33.930198039929,272.4391788353227,3.1495174534004438,0.2291843705694195,2459382.5540682906,20210617.0540683,1570.7877422250172,4.30058245646822,1.14963,447.40150710000006,6.2496e-08,1.861e-08,1.6289999999999998e-07,5.6698e-06,2.773e-05,3.0329e-05,1.4854e-05,2.2164e-08,2.4193e-09,6.6915e-05,1.6581e-05,MBA,0.57531
26700,2036232,' 36232 (1999 US26)',N,13.7,8.527999999999999,0.088,0.124,0.1286777460895495,3.1303191939418187,2.72751677552453,4.014059795813006,273.669185150782,17.56077516651374,342.1662140011852,3.5331216123591065,0.1779594839313852,2459100.7126192143,20200908.2126192,2022.932366666128,5.53848697239186,1.71161,666.1072637,3.7026e-08,2.0643e-08,1.1921e-07,4.0667e-06,6.2248e-05,6.4476e-05,1.7871e-05,2.33e-08,1.7604e-09,0.00010061,2.0011e-05,MBA,0.5179199999999999
5112,2005517,'  5517 Johnerogers (1989 LJ)',N,12.9,6.007,0.371,0.182,0.1186782592606629,2.5910837906400306,2.283578476768352,14.42147959605736,89.56916455242985,118.78255853219,178.23178313734792,2.8985891045117094,0.2363098843863592,2458246.2709350577,20180507.7709351,1523.423368154213,4.17090586763645,1.31211,510.6338487,4.4598000000000007e-08,1.258e-08,1.1276e-07,4.1207e-06,1.7838e-05,2.4206e-05,1.6491e-05,1.4073e-08,1.721e-09,6.9137e-05,1.1095e-05,MBA,0.42357
79292,2172363,'172363 (2002 XK60)',N,15.6,3.8369999999999997,0.083,0.9129999999999999,0.063605028634757,2.775960382765333,2.599395343130593,3.693992337812526,242.8726789072351,168.2099757826029,296.13826556110786,2.9525254224000714,0.213100357471334,2459300.1791520985,20210326.6791521,1689.3448902281948,4.62517423744886,1.61008,626.5948336,5.7384000000000006e-08,3.25e-08,1.6885e-07,6.1814e-06,9.5451e-05,0.00010915,5.8251e-05,3.4567e-08,3.7424e-09,0.00027599,2.9667e-05,MBA,0.59439
65079,2120650,'120650 (1996 TV7)',N,15.2,2.7119999999999997,0.263,0.316,0.098801930381007,2.576930719258516,2.3223249897376568,13.382225893874107,33.69207097152179,161.1661101566852,89.52799718995287,2.831536448779373,0.2382593539467842,2458624.741417149,20190521.241417103,1510.9585165768851,4.13677896393398,1.32301,514.8758017,6.2728e-08,1.6962999999999998e-08,1.6422999999999998e-07,7.0115e-06,1.8544e-05,2.9924e-05,2.1949e-05,1.8639e-08,2.3526e-09,9.174e-05,1.4919e-05,MBA,0.55908
4664,2004998,'  4998 Kabashima (1986 VG)',N,12.0,15.669,0.1159999999999999,0.16,0.0732580250286855,3.00634893742894,2.7861097517258084,9.905788368268636,352.2248376923088,100.65348975098551,106.63084538507228,3.226588123132072,0.1890797390890909,2458436.553561853,20181114.0535619,1903.958624728028,5.21275461937859,1.82445,710.0212065000001,3.5998e-08,1.6633e-08,1.0907e-07,4.9712e-06,2.3878e-05,4.3134e-05,3.4641e-05,1.7851e-08,1.5690999999999999e-09,0.0001834,1.5801e-05,MBA,0.46561
114788,2376024,'376024 (2010 AD87)',N,15.8,4.479,0.046,0.644,0.0947901914894737,3.160635544610443,2.8610382961083816,10.51073925454786,141.1826296563174,280.9056797487856,50.599950282594776,3.460232793112504,0.1754051918853538,2458712.0253560124,20190816.525356,2052.390788040635,5.619139734539731,1.89845,738.8197865000001,5.4058e-08,5.9219e-08,1.9237000000000002e-07,7.0838e-06,3.2445e-05,5.2854e-05,4.363e-05,6.4832e-08,4.9297e-09,0.00024506,5.7682e-05,MBA,0.6013
